Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Std_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Std_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch5
AMSGrad|2.61845|0.17967583309950172|2.7432|0.03592102448427659|2.72935|0.03160767311903896|2.6621|0.020788939366884408|2.65225|0.0340118361750728
AMSGradCurvature|2.6222|0.37702933572866704|2.9707|0.5655440035930005|2.7056500000000003|0.1723219225751615|2.6734999999999998|0.19007030278294423|2.6803999999999997|0.004242640687119289
Adadelta|2.6638|0.0008485281374239206|2.65405|0.0007778174593051166|2.6483999999999996|0.0007071067811866267|2.6439000000000004|0.0007071067811863127|2.63985|0.0006363961030676656
AdadeltaCurvature|2.66085|0.0012020815280173124|2.662|0.0008485281374237635|2.6569000000000003|0.0008485281374239206|2.6519|0.0008485281374237635|2.6471999999999998|0.0008485281374242346
Adagrad|2.0380000000000003|0.030547012947258787|2.274|0.0657609306503489|2.2106500000000002|0.06993286065934938|2.18325|0.1509672977833279|2.266|0.028284271247461926
AdagradCurvature|2.0159000000000002|0.04921463197058347|2.2827|0.06491240251292467|2.2893499999999998|0.1799586758119763|2.22315|0.2102228460467605|2.2605|0.007353910524339913
Adam|2.59305|0.162281006282313|2.641|0.043699199077328534|2.5374999999999996|0.17182694782833113|2.6914|0.1535835928737177|2.63215|0.07855956338982525
AdamCurvature|2.62635|0.06173042199758555|2.57945|0.12438008281071398|2.5354|0.2030810675567762|2.5851499999999996|0.07587255762131635|2.6839500000000003|0.025243712088359477
AdamW|2.57695|0.021708178182426815|2.58235|0.13258252147247765|2.6604|0.007636753236814657|2.6412|0.02517300141024083|2.6365|0.03012274887854659
AdamWCurvature|2.48215|0.06837722574073883|2.5423999999999998|0.037193816690412544|2.56675|0.01265721138323922|2.6026|0.09333809511662419|2.6431|0.019516147160748447
HeavyBall|2.2560000000000002|0.01258650070512026|1.782|0.00014142135623729392|1.5545499999999999|0.01873832970144372|1.4926|0.011030865786510182|1.4055499999999999|0.0058689862838484045
HeavyBallCurvature|2.2965|0.02531442276647844|2.3099|0.03450681092190349|2.14305|0.02538513344459693|2.0532000000000004|0.026304372260139652|2.01825|0.023546655813512264
NAG|2.2560000000000002|0.01258650070512026|1.782|0.00014142135623729392|1.5545499999999999|0.01873832970144372|1.4926|0.011030865786510182|1.4055499999999999|0.0058689862838484045
NAGCurvature|2.2965|0.02531442276647844|2.3099|0.03450681092190349|2.14305|0.02538513344459693|2.04955|0.021142492757477482|2.02345|0.02057680733252831
NAdam|0.7215|0.03733523804664968|0.9407000000000001|0.211566348931015|1.0072|0.3941413198333816|1.07095|0.4316886899143873|1.3019500000000002|0.125935717729324
NAdamCurvature|0.7757000000000001|0.14608826099314076|0.81595|0.20414172772855627|1.2346|0.09291383104791225|1.46415|0.07205418100290903|1.44555|0.13993643199681766
NAdamW|0.9552499999999999|0.21856670606476178|0.9457|0.15245222202381978|1.17515|0.2605688488672427|1.1214499999999998|0.2201223409833721|1.45085|0.5350677013238604
NAdamWCurvature|0.60655|0.03995153313703993|0.73455|0.15902831508885457|1.3618999999999999|0.3197536864525568|1.3811|0.06095260453828028|1.2841|0.11737972567696683
RMSProp|0.5340499999999999|0.04928534264870231|0.40700000000000003|0.004949747468305818|0.36824999999999997|0.015202795795510805|0.37265000000000004|0.0017677669529663508|0.36255|0.010818733752154164
RMSPropCurvature|0.59185|0.04065863991822652|0.4164|0.019233304448274095|0.4072|0.0008485281374238421|0.3964|0.00028284271247460747|0.36634999999999995|0.028779245994292477
RMSPropMomentum|0.64775|0.10302545801887997|0.48324999999999996|0.06979143930311223|0.38239999999999996|0.0045254833995938964|0.39365|0.007566042558696089|0.391|0.007071067811865481
RMSPropMomentumCurvature|0.66775|0.2237992962455423|0.51315|0.16426090526963497|0.40415|0.036415999231107186|0.3923|0.0328097546470558|0.38880000000000003|0.019374725804511408
SimpleSGD|2.6|0.004101219330881838|2.60675|0.0027577164466273886|2.6090999999999998|0.002404163056034154|2.6069500000000003|0.00233345237791535|2.6027|0.002121320343559723
SimpleSGDCurvature|0.3477|0.0035355339059327407|0.33055|0.0013435028842544493|0.31545|0.0021920310216782916|0.30979999999999996|0.0025455844122715854|0.30565|0.0021920310216782916
