Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5
SimpleSGD|0.6780347812110371|0.6709232732953275|0.6688197805415124|0.6671228223570522|0.6657074722010213|0.00032780447265550925|0.00044671090302501973|0.00014028674840487165|2.760395129818105e-05|3.2735079688452057e-06
SimpleSGDCurvature|0.5883711679162665|0.5177280710809191|0.5068081289093935|0.5018426461836538|0.49774847257289856|0.00032287471682161624|0.008311092353975019|0.006394668217602601|0.0074398999670033696|0.007191071869451659
Adam|0.5668592738222596|0.5103345286693608|0.4537846800450651|0.523704676253813|0.4551927291360808|0.04512614108059805|0.006668144824645736|0.15924327896530802|0.14084172575868562|0.21551205578262747
AdamCurvature|0.5319638431508101|0.3785958857270437|0.2850409736771688|0.32982085198436406|0.3906197636311626|0.013542898509001219|0.042344371064831327|0.01693743136528478|0.04508194779840699|0.16579186360186426
HeavyBall|0.6655197608841403|0.6484938407728833|0.584373395120422|0.5290218000819522|0.5139238389798013|0.0010170902138940117|0.006834959354269997|0.05516659675859919|0.007273292242025306|0.004607530540699347
HeavyBallCurvature|0.5650112049235286|0.5120909936739715|0.5087203901036348|0.5082533301775373|0.502139094161377|0.010482705217682442|0.004984983423018896|0.0028899179429602156|0.0019231237131146757|0.00039227358659306595
NAG|0.6683077783318716|0.653464130389843|0.6085064837766958|0.5238182288092277|0.5013782489343361|0.00048434349274158243|0.0010176237914552378|0.00161418299867878|0.0007062249988452733|0.0005321570505280015
NAGCurvature|0.5845582718114748|0.5300844665855116|0.4940312891326831|0.48525432288864623|0.48880906699998283|0.002203274624201122|0.01737443722445666|0.009094311323551284|0.002105859002873846|0.005127037449652005
Adagrad|0.5530147506996743|0.5171683767105587|0.5072038799960173|0.4988097449597754|0.49096235308721253|0.013264791681542034|0.01345003339892221|0.013907743396594013|0.013502624652569028|0.01324689406469988
AdagradCurvature|0.5212320068636586|0.4609076150538063|0.4348497343346667|0.4214243690263636|0.41329718728496995|0.011011298047152908|0.0056173548921781185|0.0019217694662967066|6.178215603145316e-05|0.0005925143040556372
Adadelta|0.6969260877948357|0.675149227191151|0.672070376724822|0.6698169056087787|0.6678917912504136|0.0054199328511546655|0.003664594509147359|0.002178017990391821|0.0011419586896823954|0.00032655116253142377
AdadeltaCurvature|0.6774257584943195|0.6665513677287581|0.6607384699136292|0.6545055107072241|0.6453973207983718|0.003609453024436461|0.0010153668161598404|0.0024316819187165384|0.0044706805711444446|0.008683771392979728
RMSProp|0.628906441236109|0.6027793472384186|0.5583012590024763|0.49981647046109223|0.4454946679623296|0.044939062430965786|0.009780073333986276|0.05068457013255414|0.0476142423733903|0.09472771733219025
RMSPropCurvature|0.5993513268515658|0.5165476831156331|0.45205390341648016|0.41098164633543005|0.42923686295148433|0.03452729448155108|0.07938218044845659|0.09912335811708016|0.08324939406333548|0.15293400111034858
RMSPropMomentum|0.5935032952583686|0.5640074639041419|0.48314073917471295|0.4848438918699512|0.44185092308349105|0.0020007032322464546|0.02664006851409717|0.11266213318877213|0.10566512862145165|0.15106493934088852
RMSPropMomentumCurvature|0.5900224205344861|0.45384228672198884|0.3991445904049402|0.3875737622570947|0.38727228891043164|0.07898070027961851|0.07140831899489494|0.06932291003587819|0.11346809194340089|0.1304924315164944
AdamW|0.5760349659095952|0.6408949624031945|0.6244194663148476|0.5969400310265736|0.5773852500226859|0.015702700585236193|0.003425666798771872|0.01678400175398929|0.024796821284832758|0.007457628649722468
AdamWCurvature|0.5564859516823314|0.4028999389879664|0.32252759396539527|0.36463331683135336|0.3465606733693501|0.018300906359013894|0.01791200457808984|0.006402163595420178|0.05556295123113582|0.02306884110171638
NAdam|0.6383412179606924|0.5439694873048793|0.4963159107039572|0.46291861308558113|0.4900987341155517|0.03739944891478023|0.08479523689102754|0.010807947554908078|0.08810031724135872|0.031205649071364066
NAdamCurvature|0.5140778488825182|0.42057199206822965|0.45898652771382276|0.5195945895513625|0.49754781011744|0.003687332464240848|0.026734730952259908|0.06431816407502156|0.1644157994908817|0.21229658737584697
NAdamW|0.6264893750658419|0.6152283151308842|0.5948857209309799|0.6068167475884749|0.5780817494477388|0.011711480597953362|0.022668808565400756|0.005017049315542619|0.05781137479998143|0.032209434480614606
NAdamWCurvature|0.5035899130038413|0.46853938058590755|0.4588013374309653|0.4961742574052793|0.5400446319111523|0.004623396864365382|0.016383233227368395|0.0291948689860916|0.08685228880313839|0.04813257040339921
AMSGrad|0.5863226250059208|0.6384146271011293|0.5882870487637233|0.5978694358735024|0.5853074975107444|0.05715860121263192|0.005286078197253277|0.02445519125894931|0.002243113065933316|0.00904419764195906
AMSGradCurvature|0.5395988889814949|0.4037140467948189|0.3230223184829437|0.27372313205023346|0.2616943876093876|0.00193221837891086|0.034691395374390886|0.02432727663316868|0.008643962076492063|0.006306451319327394
