|Epoch_1|Epoch_2|Epoch_3|Epoch_4|Epoch_5|Epoch_6|Epoch_7|Epoch_8|Epoch_9|Epoch_10
SimpleSGD|2.2888800783452|2.1711006101740056|2.1664601477327943|2.0985058501601914|2.0495443572957703|2.1337064980823492|2.0910627404421063|2.0534169815555456|2.0209967496077708|1.9929848778157218
SimpleSGDCurvature|1.8701562108310381|1.7308227968876697|1.7643590916213288|1.7018863563148316|1.659541501501468|1.7819432319728539|1.7397984759103409|1.7004275040830577|1.6638572324652128|1.6289387534550954
Adam|1.7592411147080418|1.4482544540932687|1.3214373501562726|1.1562829560404433|1.024019469484303|0.8457734112726847|0.7649458081241062|0.711094856142879|0.6437577537120839|0.5818318283171869
AdamCurvature|1.716297715316256|1.378181681781623|1.268479182231271|1.1464765027527757|1.057706165618789|0.8980456718076701|0.811351386023076|0.738668878314226|0.6771884094162507|0.6153383093512182
HeavyBall|2.005180838641672|1.7804124794783207|1.7278920093103283|1.6402237589299842|1.5633238738829143|1.6487188412437568|1.5803973963783513|1.5133806318047034|1.4449041060497483|1.3839700799627292
HeavyBallCurvature|1.8643442586932204|1.7111516705179315|1.7059731936421898|1.6339225641928345|1.5824445992344736|1.6337994517441425|1.5768109660123941|1.5268274972658027|1.4764212674870216|1.4225347249843605
NAG|1.9952115617137136|1.7799126108361005|1.7321226483272822|1.6424202658595066|1.5709364480077517|1.6618049245001714|1.5919130908959056|1.5315975589044417|1.468212211372555|1.4071070145379623
NAGCurvature|1.8688217471122361|1.7278958358587062|1.7290973271887156|1.6843305959413613|1.6118587569679093|1.7243405063297579|1.7133225646810961|1.6697842074874067|1.6133980956307137|1.5584085441010038
Adagrad|1.7606469491430896|1.5333195016198262|1.4677195850378832|1.368019680222644|1.273251996728485|1.172348369846552|1.0620380952736006|0.9915278340518255|0.9389329302601551|0.9055203768918685
AdagradCurvature|1.7105474312999742|1.4537999395979817|1.397172338020679|1.298651551452448|1.2185592012979813|1.1441667295315545|1.0881463220269465|1.0156076702573882|0.9604483229517949|0.9107892385982901
Adadelta|2.3516347698907927|2.2597126140854646|2.2726297026028455|2.2102876309077026|2.163287361059414|2.276951452017251|2.238305014666856|2.204714812327177|2.1744559782892727|2.147555333971211
AdadeltaCurvature|2.2280921858117124|2.0606567434505996|2.064325743689052|1.9967149297181088|1.943921962859641|2.017531957535518|1.9757913600585806|1.9377222520389346|1.9055372247366549|1.876001283254911
RMSProp|2.1949355901994307|1.4708929595978337|1.3336175804687969|1.1713060511322917|1.038079737884912|1.0228503954546084|0.9374563658438969|0.8723011756428903|0.8099125513077066|0.7618701722186477
RMSPropCurvature|2.224916729703227|1.4294265695787982|1.3323893330075818|1.170302104177654|1.0646260727878283|1.0620551820092416|0.9750403848561355|0.8976639867914435|0.8398822340031299|0.786624315453419
RMSPropMomentum|2.299700020697018|1.46522189922399|1.335768196401431|1.1884234195683978|1.0479702947789276|1.0151801463293306|0.9343436852126745|0.8771049900603124|0.8293549188585615|0.7779484169062937
RMSPropMomentumCurvature|2.131025477308301|1.4270053216351877|1.3465653915514322|1.1860474251211024|1.0683549784216215|1.0633129445788456|0.9735866071597031|0.9044724950232221|0.8457302446850647|0.8152577548045907
AdamW|1.7604194074774977|1.463667351269035|1.3824030515560164|1.2495896788874228|1.085599936596614|0.8655562090036976|0.7754653139766831|0.7089512998742762|0.6572131302978704|0.5992064861626184
AdamWCurvature|1.7070462734340703|1.3863412451888357|1.2592070431356888|1.1349352651667308|1.0129888856500089|0.8746771732733042|0.8019835322294848|0.7351122541391616|0.67740901511466|0.6246776751288304
NAdam|1.7264355750997709|1.3942455547000578|1.2825380778278253|1.1307426254770174|1.0477217870643525|0.9697927863436544|0.9387596341656923|0.9075649692012652|0.839488819931005|0.8005163860475973
NAdamCurvature|1.6923721380831194|1.3979641177307496|1.309928634582252|1.1697533746632451|1.0937895061378282|1.0651518971124674|1.0056057043093085|0.9794535757806924|0.9124007642691608|0.8735333140136504
NAdamW|1.7090955912170291|1.3978001689311679|1.311131416663916|1.156605637264422|1.0557445331333923|1.0350704175887462|0.9539058223899386|0.8942224744282083|0.8510566815441211|0.810143737155215
NAdamWCurvature|1.6949129671337235|1.3993572463542152|1.3057437568579768|1.149300359153778|1.0825799429433764|1.052434499357392|0.9928881187214034|0.9328366191296842|0.9063614758710938|0.849351993166972
AMSGrad|1.7735490041845536|1.4939298282117395|1.3803415810190074|1.2338827668498533|1.1097714026184275|0.9108273123448498|0.7990913937913882|0.717141853654715|0.6405676426505131|0.5770547507714101
AMSGradCurvature|1.707368858027056|1.3884851715426012|1.254760229688788|1.139946604849148|1.0353307306024808|0.890544749508843|0.8111907836636857|0.7346302576724729|0.6734680648723579|0.6176738960760747
