|Epoch_1|Epoch_2|Epoch_3|Epoch_4|Epoch_5
AMSGrad|1.940055583333334|0.8581916666666667|1.5617511666666668|1.3863119999999998|1.2436664166666664
AMSGradCurvature|1.9377414166666664|0.8540862500000002|1.5513174166666666|1.3712846666666667|1.209117166666667
Adadelta|2.61911025|2.1548941666666668|2.4442926666666667|2.342736333333333|2.267533833333333
AdadeltaCurvature|2.608118333333334|2.0835068333333333|2.379289666666667|2.2860655833333334|2.2127105000000005
Adagrad|1.9115410833333333|1.0354901666666667|1.5830223333333335|1.4596207499999998|1.3708517500000004
AdagradCurvature|1.8866796666666665|0.9889253333333334|1.5338969166666667|1.4096318333333333|1.3140588333333334
Adam|1.9339939166666666|0.8612105000000001|1.5382613333333335|1.3807577499999997|1.22850675
AdamCurvature|1.9407564166666664|0.8521446666666666|1.546432416666667|1.371864416666667|1.224801833333333
AdamW|1.9415950000000006|0.87221325|1.5593385000000002|1.3822619999999997|1.2335675000000004
AdamWCurvature|1.9307804999999998|0.8483813333333332|1.5492269166666666|1.3697826666666668|1.2142323333333336
HeavyBall|2.256429083333333|1.4063594166666664|1.8579120833333334|1.7566853333333334|1.6784075833333332
HeavyBallCurvature|2.088772166666666|0.8414690833333331|1.6603781666666666|1.47578875|1.2986806666666666
NAG|2.2559144166666663|1.414586583333333|1.8574896666666665|1.7582653333333333|1.682645416666667
NAGCurvature|2.1006655|0.9550626666666664|1.6901654166666666|1.5204503333333335|1.3606228333333334
NAdam|1.8803087499999998|0.9647164999999998|1.5283426666666666|1.3566784166666666|1.2426515833333334
NAdamCurvature|1.8778790833333332|0.9685519166666667|1.5267322499999996|1.3482287499999999|1.2158424166666664
NAdamW|1.8873146666666671|0.9780317500000001|1.5196730000000003|1.3329474166666666|1.2169404166666666
NAdamWCurvature|1.8663640833333333|0.9085754166666666|1.5333395614035088|1.3363155263157893|1.197467456140351
RMSProp|2.3723635833333327|0.9061889166666667|1.5539933333333331|1.3858155833333332|1.2406481666666667
RMSPropCurvature|2.38884875|0.8595045000000001|1.5381542499999998|1.3614200833333334|1.1942737500000002
RMSPropMomentum|2.424167083333333|0.9039710833333334|1.5541953333333334|1.3828884166666664|1.23755975
RMSPropMomentumCurvature|2.4213999999999993|0.8865729166666668|1.5726065|1.40124025|1.2475355
SimpleSGD|2.5764534210526313|2.0745012280701753|2.346718684210526|2.2557185087719303|2.1960769298245606
SimpleSGDCurvature|2.0367109166666664|0.8223551666666665|1.5957676666666667|1.4343325833333334|1.2876693333333333
Shampoo|1.8935058333333332|0.9159291666666667|1.2858883333333333|1.1703591666666666|1.1095366666666666
