|Epoch_1|Epoch_2|Epoch_3|Epoch_4|Epoch_5|Epoch_6|Epoch_7|Epoch_8|Epoch_9|Epoch_10
SimpleSGD|2.6560665976774676|2.470257430081263|2.3295714563506227|2.244458764730983|2.18360609314053|2.1337064980823492|2.0910627404421063|2.0534169815555456|2.0209967496077708|1.9929848778157218
SimpleSGDCurvature|2.2459351517241952|2.029554309208305|1.9424847517486072|1.879989009071571|1.8279538131298905|1.7819432319728539|1.7397984759103409|1.7004275040830577|1.6638572324652128|1.6289387534550954
Adam|2.02094468739887|1.5720869280925587|1.33029007303811|1.1250008990573659|0.9663033194591125|0.8457734112726847|0.7649458081241062|0.711094856142879|0.6437577537120839|0.5818318283171869
AdamCurvature|1.972953838801616|1.5140651358408652|1.281506763223429|1.1428599206547834|1.0173720947819669|0.8980456718076701|0.811351386023076|0.738668878314226|0.6771884094162507|0.6153383093512182
HeavyBall|2.3417715309780105|2.0333563881733645|1.8883788568652569|1.8050780079277051|1.7261954622808162|1.6487188412437568|1.5803973963783513|1.5133806318047034|1.4449041060497483|1.3839700799627292
HeavyBallCurvature|2.1819334196793068|1.9472471525592647|1.8417535160713583|1.7637114982817967|1.696004264910248|1.6337994517441425|1.5768109660123941|1.5268274972658027|1.4764212674870216|1.4225347249843605
NAG|2.3303783521392702|2.03351597247507|1.8920227582984834|1.8079482700571323|1.735941910477311|1.6618049245001714|1.5919130908959056|1.5315975589044417|1.468212211372555|1.4071070145379623
NAGCurvature|2.1851270167873844|1.968404152131|1.8776726011600948|1.8176647474200662|1.7406952735886634|1.7243405063297579|1.7133225646810961|1.6697842074874067|1.6133980956307137|1.5584085441010038
Adagrad|2.056086341903099|1.6796720268502099|1.5164787482591144|1.3858118706764626|1.2606375421321894|1.172348369846552|1.0620380952736006|0.9915278340518255|0.9389329302601551|0.9055203768918685
AdagradCurvature|2.002282682084481|1.6049770883905867|1.4409335673844368|1.3226800746667844|1.2254868374663184|1.1441667295315545|1.0881463220269465|1.0156076702573882|0.9604483229517949|0.9107892385982901
Adadelta|2.7148091867995845|2.571202744524553|2.4599744951028555|2.3820747637075423|2.323516368043386|2.276951452017251|2.238305014666856|2.204714812327177|2.1744559782892727|2.147555333971211
AdadeltaCurvature|2.5898490789985904|2.327177788465691|2.2032687933394612|2.1250623844223773|2.066175805564313|2.017531957535518|1.9757913600585806|1.9377222520389346|1.9055372247366549|1.876001283254911
RMSProp|2.7468289536790045|1.745425460557898|1.4908955018453394|1.294177744600537|1.1264716530003165|1.0228503954546084|0.9374563658438969|0.8723011756428903|0.8099125513077066|0.7618701722186477
RMSPropCurvature|2.8023789703350497|1.7123481424163987|1.5082148942465425|1.3112833119673417|1.1785488485788715|1.0620551820092416|0.9750403848561355|0.8976639867914435|0.8398822340031299|0.786624315453419
RMSPropMomentum|2.8934338782890365|1.7525983419630482|1.4973404277792068|1.3025553302392747|1.1354044663279372|1.0151801463293306|0.9343436852126745|0.8771049900603124|0.8293549188585615|0.7779484169062937
RMSPropMomentumCurvature|2.667096582790354|1.7077942649056952|1.5249167327791606|1.3303986115748567|1.1843325275201293|1.0633129445788456|0.9735866071597031|0.9044724950232221|0.8457302446850647|0.8152577548045907
AdamW|2.026516585983737|1.5893484303201282|1.358552039752445|1.1722556855944897|1.002665319395495|0.8655562090036976|0.7754653139766831|0.7089512998742762|0.6572131302978704|0.5992064861626184
AdamWCurvature|1.9574567934985092|1.5101447898777451|1.2783346240367446|1.114997532967317|0.9794701874200676|0.8746771732733042|0.8019835322294848|0.7351122541391616|0.67740901511466|0.6246776751288304
NAdam|2.0700074140488973|1.5976849387751608|1.3637492821949386|1.1782617394821011|1.0655625682132712|0.9697927863436544|0.9387596341656923|0.9075649692012652|0.839488819931005|0.8005163860475973
NAdamCurvature|2.0619011973768724|1.6557827858640968|1.4519027498895063|1.2687315872533087|1.157429204111452|1.0651518971124674|1.0056057043093085|0.9794535757806924|0.9124007642691608|0.8735333140136504
NAdamW|2.053813697861627|1.6027936369405993|1.3806623195940249|1.171600536481511|1.039718903752164|1.0350704175887462|0.9539058223899386|0.8942224744282083|0.8510566815441211|0.810143737155215
NAdamWCurvature|2.0664065118323944|1.6553744340792869|1.4509885452769187|1.2525165292258287|1.147979696296273|1.052434499357392|0.9928881187214034|0.9328366191296842|0.9063614758710938|0.849351993166972
AMSGrad|2.0332682643815243|1.6136383500257276|1.3886942322347773|1.2114621546014532|1.0450481277707213|0.9108273123448498|0.7990913937913882|0.717141853654715|0.6405676426505131|0.5770547507714101
AMSGradCurvature|1.958018902455854|1.5116246017391568|1.2670073101534476|1.1433067273592714|1.012791613871784|0.890544749508843|0.8111907836636857|0.7346302576724729|0.6734680648723579|0.6176738960760747
