optimizer,momentum,mean_accuracy,std_accuracy
AdamCurvature,,0.999752,0.0006146999267935429
AdagradCurvature,,0.9998760000000001,0.00018282231811241178
AdadeltaCurvature,,0.978368,0.010984961356327119
RMSPropCurvature,,1.0,0.0
RMSPropMomentumCurvature,,0.999992,2.3999999999990697e-05
AdamWCurvature,,0.9999480000000001,8.588364221433457e-05
NAdamCurvature,,0.99996,5.932958789675727e-05
NAdamWCurvature,,0.999836,0.0003059150208799869
AMSGradCurvature,,0.9992280000000001,0.0018261259540349266
