Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2
SimpleSGD|0.3071437612658673|0.13933501928053846|0.03462294707088028|0.01580460830989785
SimpleSGDCurvature|0.011400925094545433|0.0001215685005087|0.0006004595330146773|3.953060765476393e-06
Adam|0.0098576396477129|6.659074808893543e-05|0.0016164853972902601|1.637025058529678e-05
AdamCurvature|0.0078351552295255|0.0008472511370949302|0.0010692254397836403|0.0008242152229936073
HeavyBall|0.09548960029856574|0.009672199841687932|0.008259163847056652|0.002050427170778924
HeavyBallCurvature|0.006902596516594133|4.643699753479095e-05|0.0004643284642918518|6.869594249622981e-06
NAG|0.09119104499549928|0.006525784948259533|0.006089392932872494|0.0018307023464941426
NAGCurvature|0.0068872629769963665|4.75569202137019e-05|0.0006066638636376011|3.994123745136771e-06
Adagrad|0.012555240798751066|0.0020781772074035666|0.001314842217532083|3.848130661578707e-05
AdagradCurvature|0.008782001609817867|0.0011494943701340998|0.00048823004380023376|0.0003057830468558792
Adadelta|0.5076788553852153|0.3261775833896765|0.05313704831184842|0.036166440238822505
AdadeltaCurvature|0.275203566887088|0.09498684105399009|0.01887513948949416|0.010185946749559003
RMSProp|0.004889630454940601|0.0026818135503691564|0.0008146719973482257|0.004416130988771224
RMSPropCurvature|0.004791786612141733|0.0010934949288227737|0.0005605671909750845|0.0018608723676617619
RMSPropMomentum|0.014448605467224667|0.00038683664855523333|0.0077094772454873875|0.000193954344567115
RMSPropMomentumCurvature|0.008224637208942466|0.001184300325991017|0.0031594712274744603|0.001760436364348673
AdamW|0.0098817194022716|5.254433723904725e-05|0.0016419956358979845|1.958342314135362e-05
AdamWCurvature|0.0079800855141977|0.00038686159619338015|0.0011724985621355936|0.0003931299123778251
NAdam|0.007546606239508466|0.010804215061949547|0.0008122652260221282|0.01831343923852748
NAdamCurvature|0.006032219304254067|0.003450382117050233|9.389729660222817e-05|0.004118230479070554
NAdamW|0.006750791204417867|0.0005049427589342037|0.00020875239165897655|0.0008058941289805927
NAdamWCurvature|0.006485561411290367|0.018029966723779666|0.0007718232758666641|0.02252861781317529
AMSGrad|0.010204765651740999|0.0003993833105094418|0.0015927896845311597|0.0002933959720076647
AMSGradCurvature|0.008402665583480767|0.0011402521117291665|0.0012948462576278354|0.0009203567774648849
