Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Std_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Std_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch5
AMSGrad|2.32135|0.06328605691619595|2.1802|0.056992806563635576|2.1449|0.022768838354206677|2.0961499999999997|0.06257895013500979|2.15455|0.13739084758454628
AMSGradCurvature|2.3011|0.11638977618330577|2.1731999999999996|0.08824692629208099|2.11075|0.008555992052357382|2.0507|0.03181980515339459|1.96985|0.008697413408594597
Adadelta|3.6896500000000003|0.07078138879677345|3.4129|0.06392245301926376|3.1501|0.051194530957906055|2.92545|0.03288046532517445|2.75755|0.015202795795510982
AdadeltaCurvature|3.71945|0.06950859659063766|3.46375|0.05847773080412748|3.22265|0.04518412331782012|3.02115|0.031324830406563905|2.8643|0.018243354954613114
Adagrad|2.327|0.007071067811865324|2.10675|0.009687362902255733|2.09105|0.007566042558696011|2.0791500000000003|0.0071417784899839715|2.06785|0.012798632739476672
AdagradCurvature|2.2973|0.008768124086713009|2.0749|0.0045254833995940335|2.05|0.021071782079359464|2.0511|0.0031112698372206234|2.0293|0.014424978336205393
Adam|2.25185|0.01760695885154529|2.1275000000000004|0.046244783489600295|1.9963000000000002|0.022627416997969777|1.9712|0.005232590180780503|1.89035|0.004171930009000642
AdamCurvature|2.28535|0.03966869042456566|2.1917|0.04751757569573579|2.07185|0.0791252488147749|1.9785|0.06972072862499368|1.90705|0.08662058069535203
AdamW|2.36125|0.0031819805153395844|2.16695|0.013222896808188396|2.09095|0.008131727983645186|1.9653|0.014000714267493669|1.9417|0.07339768388716371
AdamWCurvature|2.2472000000000003|0.038890872965260385|2.1547|0.14382551929334395|2.1265|0.09206530291048871|2.0504499999999997|0.085347788489216|1.9687999999999999|0.12671353518862918
HeavyBall|2.598|0.002404163056034311|2.385|0.0007071067811863127|2.3503|0.008061017305526696|2.3007|0.028425692603699065|2.1912000000000003|0.12346084399517157
HeavyBallCurvature|2.4671000000000003|0.01414213562373112|2.11565|0.034577521600021977|2.0519499999999997|0.01548563850798557|2.0199499999999997|0.02283954903232548|1.9947|0.03903229432149744
NAG|2.598|0.002404163056034311|2.385|0.0007071067811863127|2.3503|0.008061017305526696|2.30075|0.028354981925580572|2.2061|0.10238906191581211
NAGCurvature|2.4671000000000003|0.01414213562373112|2.12025|0.02778929650063124|2.0558|0.006505382386916149|2.02025|0.023829498525986852|1.9977|0.030688434303496236
NAdam|2.3551|0.024748737341529107|2.3508|0.004808326112068622|2.37275|0.14856313472729343|2.36285|0.1525229327019383|2.4904|0.003959797974644701
NAdamCurvature|2.3657|0.04044650788387046|2.28315|0.15846262966390529|2.3727|0.06561950929411177|2.2754|0.053598694013940365|2.307|0.17027131290972072
NAdamW|2.2954|0.0879640835796064|2.2771|0.2889238307928232|2.2129|0.34520953057527226|2.1785|0.31791520882147195|2.09455|0.4926412944526676
NAdamWCurvature|2.27025|0.002050609665441076|2.1357999999999997|0.012586500705120572|2.10295|0.01958685783886741|1.9952999999999999|0.049214631970583865|2.2552000000000003|0.32427916985215094
RMSProp|2.3724|0.08612560594852159|2.39105|0.017041273426595647|2.28325|0.03896158364337856|2.24055|0.052396612485923054|2.18055|0.08421641763931796
RMSPropCurvature|2.3666|0.06137686860699247|2.1954000000000002|0.007071067811865795|2.25745|0.2180010206398126|2.0692|0.10210621920333728|1.9880499999999999|0.1447447581088862
RMSPropMomentum|2.3625|0.13109759723198577|2.1483|0.08075159441150347|2.0881999999999996|0.037335238046649524|2.07315|0.07771103525240133|2.1165|0.30334880912902884
RMSPropMomentumCurvature|2.4027000000000003|0.13435028842544414|2.32475|0.15747268017024404|2.42695|0.004313351365237936|2.3666|0.08089301576774093|2.32575|0.14106780284671638
SimpleSGD|3.16645|0.03203193718775053|2.6233500000000003|0.0061518289963226|2.5261|0.0036769552621702703|2.48115|0.0031819805153395844|2.45265|0.0033234018715767215
SimpleSGDCurvature|2.57395|0.005727564927610875|2.33595|0.017889801564019408|2.14945|0.07799387796487608|2.0673500000000002|0.00035355339059354887|2.0393499999999998|0.005586143571373738
