Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Std_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Std_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch5
AMSGrad|1.38305|0.0038890872965259755|1.3827500000000001|0.00487903679018719|1.35305|0.04716402230514271|1.3161|0.09941921343482862|1.2504|0.19233304448274102
AMSGradCurvature|1.32295|0.08888332239514889|1.2518500000000001|0.19042385617353724|1.2433|0.2023739607755899|1.16255|0.17557461376861971|1.09395|0.08973185053257289
Adadelta|1.3865500000000002|7.071067811872547e-05|1.3864|0.0|1.3865|0.0|1.38645|7.071067811872547e-05|1.38645|7.071067811872547e-05
AdadeltaCurvature|1.3865|0.0|1.38605|7.071067811880398e-05|1.3846500000000002|0.0004949747468306073|1.36025|0.021849599538664267|1.25735|0.018172644276494312
Adagrad|0.9027000000000001|0.010465180361560888|0.83735|0.008697413408594519|0.8268|0.008485281374238578|0.8202499999999999|0.008273149339882598|0.81555|0.007566042558696011
AdagradCurvature|0.9027000000000001|0.010606601717798184|0.8373999999999999|0.008909545442950577|0.82685|0.008697413408594519|0.8203|0.008343860018001284|0.81565|0.007848885271170716
Adam|1.3851499999999999|0.0017677669529664096|1.3867|0.0|1.38665|7.071067811872547e-05|1.3865500000000002|7.071067811856847e-05|1.3866|0.0
AdamCurvature|1.3845999999999998|0.001272792206135881|1.3867500000000001|7.071067811872547e-05|1.3867|0.0|1.38665|7.071067811856847e-05|1.38665|7.071067811856847e-05
AdamW|1.38615|0.0014849242404917434|1.3866|0.0|1.3864|0.00014142135623729392|1.35175|0.049143921292465136|1.25515|0.18589837277394344
AdamWCurvature|1.3862|0.0021213203435594876|1.3867|0.0|1.3866|0.0|1.3866|0.0|1.3866|0.0
HeavyBall|1.3869500000000001|7.071067811856847e-05|1.3867500000000001|7.071067811872547e-05|1.38665|7.071067811872547e-05|1.3866|0.0|1.3865|0.0
HeavyBallCurvature|1.3874499999999999|7.071067811872547e-05|1.38665|7.071067811872547e-05|1.3866|0.0|1.3851|0.001979898987322429|1.11795|0.04405275246792193
NAG|1.3869500000000001|7.071067811856847e-05|1.3867500000000001|7.071067811872547e-05|1.38665|7.071067811872547e-05|1.3866|0.0|1.3865|0.0
NAGCurvature|1.3874499999999999|7.071067811872547e-05|1.38665|7.071067811872547e-05|1.3866|0.0|1.3851|0.001979898987322429|1.1006|0.03351686142824243
NAdam|1.388|0.00014142135623729392|1.3896|0.0005656854249491757|1.3995|0.010748023074035594|1.47675|0.02397091988222399|1.4935|0.00028284271247458785
NAdamCurvature|1.3881000000000001|0.00014142135623752944|1.38925|0.0002121320343558624|1.392|0.0|1.3936|0.00014142135623729392|1.4173499999999999|0.03118340905032669
NAdamW|1.388|0.00014142135623729392|1.3892|0.00014142135623729392|1.39175|0.0004949747468306073|1.3935|0.00028284271247458785|1.3958|0.0005656854249494113
NAdamWCurvature|1.38795|0.00021213203435601938|1.3890500000000001|0.0002121320343558624||||||
RMSProp|1.3881999999999999|0.00028284271247466634|1.3860999999999999|0.0008485281374239991|1.3844|0.0032526911934580745|1.36395|0.03217335854398798|1.3621|0.0342239682094289
RMSPropCurvature|1.3601|0.03790092347159893|1.311|0.10748023074035525|1.2415500000000002|0.20527309857845466|1.2149999999999999|0.24098199102837548|1.1761499999999998|0.2164453857212023
RMSPropMomentum|1.385|0.004808326112068622|1.3298|0.080893015767741|1.2213500000000002|0.23412305525086577|1.2001|0.2641750934512942|1.20945|0.25095219664310575
RMSPropMomentumCurvature|1.37535|0.019445436482630193|1.3548499999999999|0.045466966030294945|1.2671000000000001|0.1692813634160596|1.2379|0.21029355672487932|1.2318500000000001|0.2189909701334739
SimpleSGD|1.3866|0.0|1.3865|0.0|1.3865|0.0|1.38645|7.071067811872547e-05|1.3865|0.0
SimpleSGDCurvature|1.3872499999999999|7.071067811872547e-05|1.3866|0.0|1.3866|0.0|1.38595|0.0009192388155425676|1.2036|0.14863384540541225
