Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Std_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Std_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Std_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Std_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Std_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Std_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch10|Mean_Training_Loss_epoch11|Std_Training_Loss_epoch11|Mean_Training_Loss_epoch12|Std_Training_Loss_epoch12|Mean_Training_Loss_epoch13|Std_Training_Loss_epoch13|Mean_Training_Loss_epoch14|Std_Training_Loss_epoch14|Mean_Training_Loss_epoch15|Std_Training_Loss_epoch15|Mean_Training_Loss_epoch16|Std_Training_Loss_epoch16|Mean_Training_Loss_epoch17|Std_Training_Loss_epoch17|Mean_Training_Loss_epoch18|Std_Training_Loss_epoch18|Mean_Training_Loss_epoch19|Std_Training_Loss_epoch19|Mean_Training_Loss_epoch20|Std_Training_Loss_epoch20|Mean_Training_Loss_epoch21|Std_Training_Loss_epoch21|Mean_Training_Loss_epoch22|Std_Training_Loss_epoch22|Mean_Training_Loss_epoch23|Std_Training_Loss_epoch23|Mean_Training_Loss_epoch24|Std_Training_Loss_epoch24|Mean_Training_Loss_epoch25|Std_Training_Loss_epoch25|Mean_Training_Loss_epoch26|Std_Training_Loss_epoch26|Mean_Training_Loss_epoch27|Std_Training_Loss_epoch27|Mean_Training_Loss_epoch28|Std_Training_Loss_epoch28|Mean_Training_Loss_epoch29|Std_Training_Loss_epoch29|Mean_Training_Loss_epoch30|Std_Training_Loss_epoch30|Mean_Training_Loss_epoch31|Std_Training_Loss_epoch31|Mean_Training_Loss_epoch32|Std_Training_Loss_epoch32|Mean_Training_Loss_epoch33|Std_Training_Loss_epoch33|Mean_Training_Loss_epoch34|Std_Training_Loss_epoch34|Mean_Training_Loss_epoch35|Std_Training_Loss_epoch35|Mean_Training_Loss_epoch36|Std_Training_Loss_epoch36|Mean_Training_Loss_epoch37|Std_Training_Loss_epoch37|Mean_Training_Loss_epoch38|Std_Training_Loss_epoch38|Mean_Training_Loss_epoch39|Std_Training_Loss_epoch39|Mean_Training_Loss_epoch40|Std_Training_Loss_epoch40|Mean_Training_Loss_epoch41|Std_Training_Loss_epoch41|Mean_Training_Loss_epoch42|Std_Training_Loss_epoch42|Mean_Training_Loss_epoch43|Std_Training_Loss_epoch43|Mean_Training_Loss_epoch44|Std_Training_Loss_epoch44|Mean_Training_Loss_epoch45|Std_Training_Loss_epoch45|Mean_Training_Loss_epoch46|Std_Training_Loss_epoch46|Mean_Training_Loss_epoch47|Std_Training_Loss_epoch47|Mean_Training_Loss_epoch48|Std_Training_Loss_epoch48|Mean_Training_Loss_epoch49|Std_Training_Loss_epoch49|Mean_Training_Loss_epoch50|Std_Training_Loss_epoch50
AMSGrad|0.5876|0.0012727922061358025|0.35309999999999997|0.001697056274847743|0.30400000000000005|0.001697056274847743|0.2682|0.0045254833995938765|0.24825|0.0006363961030679012|0.22585|0.001202081528017126|0.20515|0.0012020815280171162|0.19255|0.0007778174593051951|0.1799|0.003959797974644662|0.16799999999999998|0.00028284271247459766|0.15760000000000002|0.0016970562748477136|0.1447|0.0007071067811865482|0.13265|0.0003535533905932741|0.12065000000000001|0.0038890872965260097|0.11149999999999999|0.003818376618407353|0.10175000000000001|0.006151828996322968|0.09295|0.0074246212024587505|0.08449999999999999|0.007071067811865467|0.07975|0.006293250352560267|0.0679|0.003394112549695427|0.0584|0.005939696961967003|0.0536|0.00311126983722081|0.0446|0.003252691193458121|0.0427|0.0029698484809835037|0.03560000000000001|0.005656854249492383|0.029949999999999997|0.005444722215136411|0.028499999999999998|0.0038183766184073545|0.0251|0.006363961030678929|0.02035|0.0017677669529663704|0.0175|0.0016970562748477172|0.012649999999999998|0.005161879502661795|0.01025|0.00417193000900063|0.0099|0.004101219330881976|0.0069500000000000004|0.002616295090390226|0.0049|0.0019798989873223327|0.00405|0.0021920310216782973|0.0042|0.002545584412271571|0.00265|0.0010606601717798212|0.0023|0.0007071067811865475|0.0017000000000000001|0.00042426406871192866|0.0014|0.0002828427124746191|0.00125|0.0002121320343559642|0.00115|0.0002121320343559642|0.0010999999999999998|0.00014142135623730935|0.0009|0.00014142135623730945|0.0009|0.00014142135623730945|0.0007999999999999999|0.00014142135623730945|0.00075|7.071067811865478e-05|0.00075|7.071067811865478e-05|0.00065|7.071067811865478e-05
AMSGradCurvature|0.5873999999999999|0.0011313708498984691|0.3535|0.0014142135623730963|0.30415000000000003|0.0014849242404918021|0.2683|0.004384062043356583|0.24819999999999998|0.0015556349186104197|0.22565000000000002|0.0009192388155425185|0.20535|0.0014849242404917434|0.19235|0.0014849242404917434|0.17915|0.0031819805153394665|0.16835|7.071067811864696e-05|0.15785|0.0017677669529663704|0.14515|7.071067811864696e-05|0.13215|0.0006363961030678914|0.12045|0.0031819805153394665|0.1115|0.0025455844122715655|0.10175000000000001|0.0038890872965260097|0.09295|0.0058689862838483455|0.08465|0.006434671708797581|0.07905000000000001|0.0048790367901871854|0.06714999999999999|0.0013435028842544348|0.058|0.002404163056034262|0.0532|0.0026870057685088817|0.0445|0.0022627416997969504|0.0422|0.002404163056034262|0.036000000000000004|0.005091168824543148|0.03105|0.00431335136523794|0.02785|0.0026162950903902272|0.02445|0.006151828996322963|0.018750000000000003|0.0016263455967290604|0.016149999999999998|0.003181980515339463|0.0142|0.0028284271247461896|0.011|0.0021213203435596424|0.00995|0.0007778174593052025|0.0070999999999999995|0.002262741699796952|0.0056|0.0009899494936611668|0.0034000000000000002|0.0009899494936611668|0.00505|0.0036062445840513925|0.0027|0.0008485281374238573|0.0020499999999999997|0.0004949747468305831|0.00155|0.0002121320343559642|0.0014|0.0002828427124746191|0.0012000000000000001|0.0001414213562373095|0.0010999999999999998|0.00014142135623730935|0.001|0.00014142135623730956|0.0009|0.00014142135623730945|0.0009|0.00014142135623730945|0.0007999999999999999|0.00014142135623730945|0.00075|7.071067811865478e-05|0.0007|0.0|0.00065|7.071067811865478e-05
Adadelta|2.2899000000000003|0.0009899494936612145|2.2640000000000002|0.0014142135623734103|2.23775|0.002050609665441076|2.2079|0.001979898987322115|2.17145|0.0002121320343560979|2.1254|0.003959797974644858|2.06715|0.01039446968344236|1.99295|0.021142492757477562|1.89995|0.03712310601229366|1.7889499999999998|0.05748778131046634|1.6646|0.07905453813665586|1.5362|0.09956063479106592|1.4130500000000001|0.11320779566796628|1.30345|0.11957175669864505|1.2086000000000001|0.12020815280171311|1.1297000000000001|0.11610693347083095|1.0649|0.11087434329005065|1.0098500000000001|0.10274261530640526|0.9637499999999999|0.09496444071335336|0.92455|0.08718626612030128|0.89095|0.07969093423972393|0.86175|0.07191275964667185|0.8369|0.06533666658163702|0.8149|0.059538390975907296|0.79585|0.05366940469205897|0.7786500000000001|0.047305443661380044|0.7636499999999999|0.043628488399210005|0.7502|0.038183766184073605|0.7385999999999999|0.035072496346852784|0.7273000000000001|0.030829855659733413|0.7181|0.02729432175380083|0.70855|0.02425376259469858|0.70045|0.0207182286887658|0.69265|0.019445436482630113|0.6855|0.017394826817189037|0.67975|0.014495689014324197|0.6723|0.011879393923933947|0.6675|0.011172287142747477|0.6615500000000001|0.009263098833543733|0.6561|0.008061017305526696|0.6513|0.006222539674441561|0.64795|0.004737615433949857|0.64235|0.0036062445840514268|0.63825|0.003747665940288721|0.63375|0.002192031021678252|0.6303|0.0|0.626|0.00014142135623729392|0.62215|0.0014849242404917434|0.619|0.0015556349186103902|0.6154|0.002687005768508781
AdadeltaCurvature|2.258|0.0060811183182045815|2.1382|0.021071782079358992|1.96395|0.04603265145524428|1.741|0.07141778489984152|1.5116|0.07962022356160528|1.3121999999999998|0.06972072862499352|1.1586500000000002|0.0508409775673129|1.0441500000000001|0.032314779900225195|0.9596|0.018384776310850254|0.89715|0.008980256121069107|0.848|0.003959797974644701|0.80965|0.0006363961030679405|0.77765|0.003889087296526015|0.7524|0.00353553390593278|0.72985|0.004737615433949818|0.7116|0.0045254833995938765|0.69575|0.005444722215136444|0.6815|0.00353553390593278|0.66915|0.003889087296526054|0.6578999999999999|0.0031112698372208984|0.648|0.0031112698372207804|0.6386499999999999|0.0026162950903902125|0.6306|0.0028284271247461927|0.6226|0.0028284271247461927|0.61565|0.0030405591591021333|0.6085|0.0014142135623730963|0.6024499999999999|0.0023334523779156243|0.59625|0.0012020815280171162|0.59105|0.0016263455967290372|0.58525|0.0012020815280170377|0.58085|0.00035355339059323483|0.5755|0.0|0.57115|0.0007778174593052343|0.56665|0.0004949747468305288|0.5625|0.00042426406871188177|0.55925|0.0006363961030679405|0.55435|0.0013435028842544493|0.55145|7.071067811864696e-05|0.5475000000000001|0.0008485281374238814|0.5437000000000001|0.00042426406871199957|0.5401|0.0011313708498985084|0.53825|0.0013435028842544493|0.5342|0.0012727922061358025|0.5315|0.00028284271247458785|0.52805|0.0010606601717798615|0.5255000000000001|0.0024041630560342714|0.52245|0.0016263455967290372|0.51945|0.00247487373415284|0.5172|0.0018384776310849781|0.5144|0.0022627416997968992
Adagrad|0.8101|0.005656854249492385|0.56045|0.002333452377915664|0.5156499999999999|0.0045961940777125634|0.4907|0.0031112698372208394|0.4738|0.0018384776310850566|0.4607|0.0012727922061358025|0.45075|0.0012020815280170964|0.44179999999999997|0.00268700576850884|0.434|0.0012727922061358025|0.42785|0.0012020815280171554|0.42269999999999996|0.002545584412271546|0.41695000000000004|0.0010606601717798418|0.4133|0.0004242640687119603|0.4091|0.001697056274847743|0.40554999999999997|0.0020506096654409386|0.40195000000000003|0.0014849242404918021|0.39975000000000005|0.00176776695296639|0.3973|0.002404163056034252|0.3952|0.0021213203435596446|0.39170000000000005|0.0009899494936611948|0.3909|0.0008485281374239009|0.3877|0.0005656854249492542|0.38565|7.071067811864696e-05|0.3841|0.0011313708498985084|0.38239999999999996|0.0004242640687119407|0.38065|7.071067811864696e-05|0.37985|0.00021213203435599978|0.37705|7.071067811864696e-05|0.3761|0.0009899494936611555|0.37475|0.0004949747468305876|0.37395|0.0012020815280171554|0.37170000000000003|0.0002828427124746467|0.37060000000000004|0.0009899494936611948|0.36955000000000005|0.0010606601717798026|0.36915|0.0006363961030678816|0.3681|0.0|0.3659|0.0005656854249492542|0.36585|0.0006363961030679012|0.36455000000000004|0.0004949747468305876|0.36285|0.0006363961030679012|0.36245|0.0006363961030679012|0.36145|0.00021213203435594088|0.3607|0.0008485281374239009|0.35960000000000003|0.0012727922061357435|0.35865|0.0010606601717798026|0.3581|0.0004242640687119014|0.3568|0.0|0.35625|7.071067811864696e-05|0.35555000000000003|7.071067811866659e-05|0.35465|0.00035355339059325446
AdagradCurvature|0.77315|0.002333452377915664|0.52815|0.0016263455967290372|0.4798|0.0025455844122715854|0.4517|0.0011313708498984496|0.43265|7.071067811864696e-05|0.41765|0.0006363961030679012|0.40615|0.0006363961030679012|0.39564999999999995|0.00035355339059325446|0.3871|0.0004242640687119603|0.37995|7.071067811864696e-05|0.3738|0.0007071067811865482|0.36735|0.00021213203435594088|0.36265000000000003|0.0007778174593052147|0.35785|7.071067811864696e-05|0.35350000000000004|0.0005656854249492346|0.3497|0.0007071067811865482|0.34665|0.0006363961030679012|0.34340000000000004|0.0012727922061357827|0.34075|0.0010606601717798026|0.3366|0.0002828427124746467|0.3351|0.0005656854249492542|0.33145|7.071067811870585e-05|0.32915|0.0004949747468306073|0.3267|0.0005656854249492542|0.3247|0.0008485281374238421|0.3225|0.00014142135623729392|0.32130000000000003|0.0004242640687119014|0.3179|0.00014142135623729392|0.31635|0.0006363961030679012|0.3149|0.00014142135623729392|0.31345|0.0007778174593051951|0.31055|7.071067811864696e-05|0.30935|0.0010606601717798418|0.30765|0.0007778174593051951|0.3068|0.0|0.3056|0.0005656854249492346|0.3029|0.0004242640687119603|0.30245|0.0003535533905932937|0.30055|0.0006363961030679012|0.29864999999999997|7.071067811870585e-05|0.2975|0.0007071067811865482|0.2965|0.0004242640687119014|0.2954|0.000989949493661136|0.29435|0.0004949747468306073|0.29295000000000004|0.0004949747468305484|0.29205000000000003|0.000919238815542548|0.2905|0.0|0.2895|0.00014142135623731355|0.28845|7.071067811864696e-05|0.28700000000000003|0.00014142135623735282
Adam|0.58765|0.0009192388155425676|0.35314999999999996|0.001909188309203684|0.30375|0.0021920310216782916|0.26780000000000004|0.004101219330881936|0.2479|0.00028284271247459766|0.2253|0.0021213203435596446|0.2044|0.00042426406871192107|0.1916|0.00014142135623732336|0.1789|0.004525483399593916|0.16715|0.0013435028842544493|0.1566|0.0028284271247461927|0.1437|0.001979898987322321|0.13|0.0011313708498984691|0.118|0.004808326112068524|0.10919999999999999|0.004666904755831215|0.0988|0.00622253967444162|0.08965000000000001|0.008131727983645299|0.0818|0.007495331880577403|0.0759|0.003959797974644667|0.0636|0.0038183766184073558|0.0535|0.0052325901807804545|0.0482|0.0035355339059327407|0.04055|0.0020506096654409876|0.037250000000000005|0.0031819805153394643|0.0332|0.0050911688245431404|0.0279|0.0028284271247461914|0.0258|0.0002828427124746173|0.0225|0.005232590180780451|0.01935|0.0027577164466275356|0.016550000000000002|0.0021920310216783|0.014950000000000001|0.003747665940288703|0.00975|0.0026162950903902246|0.0131|0.006929646455628165|0.01355|0.006151828996322963|0.0088|0.002404163056034262|0.00595|0.0024748737341529167|0.009850000000000001|0.006293250352560274|0.00785|0.008414570696119915|0.00375|0.0036062445840513925|0.0020499999999999997|0.0010606601717798212|0.00675|0.008555992052357225|0.010700000000000001|0.01456639969244288|0.00795|0.010818733752154176|0.00605|0.008131727983645295|0.0042|0.00551543289325507|0.0031|0.004101219330881976|0.0018|0.002262741699796952|0.00125|0.0014849242404917497|0.00045|0.00035355339059327376|0.00025|7.071067811865474e-05
AdamCurvature|0.58765|0.0009192388155425676|0.3536|0.00155563491861041|0.30410000000000004|0.0015556349186104492|0.26785000000000003|0.0045961940777125435|0.2478|0.0009899494936611753|0.225|0.0007071067811865482|0.20475|0.0009192388155425185|0.1917|0.0007071067811865482|0.17865|0.0024748737341529184|0.16670000000000001|0.00042426406871193083|0.1563|0.0024041630560342714|0.14375|0.001202081528017126|0.13055|0.0010606601717798223|0.11815|0.0033234018715767753|0.10855000000000001|0.004313351365237951|0.0988|0.0032526911934581135|0.08965000000000001|0.0062932503525602815|0.08085|0.007283199846221437|0.07469999999999999|0.005091168824543136|0.06420000000000001|0.003818376618407363|0.055|0.0035355339059327407|0.04915|0.003464823227814084|0.041|0.00311126983722081|0.03765|0.006434671708797588|0.0332|0.003818376618407358|0.02635|0.0026162950903902233|0.02485|0.0017677669529663704|0.02105|0.0058689862838483455|0.018099999999999998|0.0005656854249492359|0.016050000000000002|0.0009192388155425099|0.014499999999999999|0.006363961030678927|0.0115|0.0018384776310850228|0.01455|0.000636396103067892|0.008|0.0008485281374238568|0.008|0.002262741699796951|0.0056|0.0008485281374238568|0.0072|0.002969848480983499|0.0138|0.004101219330881975|0.01665|0.005303300858899107|0.016050000000000002|0.0014849242404917518|0.0106|0.002121320343559642|0.0085|0.007071067811865476|0.0114|0.012020815280171309|0.0029000000000000002|0.002545584412271571|0.00085|0.0006363961030678928|0.00039999999999999996|0.0001414213562373095|0.00030000000000000003|0.0001414213562373095|0.00025|7.071067811865474e-05|0.0002|0.0|0.0002|0.0
AdamW|0.5872999999999999|0.0012727922061357632|0.3535|0.0014142135623730963|0.30410000000000004|0.001979898987322331|0.26775000000000004|0.0045961940777125435|0.24795|0.0013435028842544493|0.22594999999999998|0.001202081528017126|0.20515|0.0013435028842544493|0.19235000000000002|0.001202081528017126|0.1794|0.003818376618407368|0.1681|0.00042426406871192107|0.15685|0.0019091883092036742|0.14429999999999998|0.0008485281374238519|0.1311|0.00014142135623730373|0.1194|0.003535533905932736|0.10994999999999999|0.0033234018715767653|0.10015|0.004454772721475249|0.0911|0.006929646455628168|0.0834|0.00622253967444162|0.07680000000000001|0.0036769552621700495|0.06535|0.002333452377915605|0.05565|0.004171930009000632|0.05035|0.0017677669529663704|0.04285|0.0027577164466275356|0.03785|0.004454772721475249|0.0344|0.0035355339059327407|0.03045|0.004313351365237941|0.026000000000000002|0.005091168824543145|0.0228|0.005232590180780454|0.01965|0.0010606601717798223|0.01575|0.001202081528017131|0.015|0.0016970562748477136|0.01185|0.004737615433949867|0.016300000000000002|0.0029698484809834976|0.010100000000000001|0.0014142135623730957|0.0095|0.00282842712474619|0.00875|0.004596194077712559|0.00945|0.0009192388155425111|0.01265|0.0037476659402887014|0.010700000000000001|0.0053740115370177624|0.0055|0.0009899494936611668|0.00885|0.0027577164466275356|0.012|0.008909545442950499|0.0134|0.0019798989873223336|0.0087|0.00579827560572969|0.00815|0.0096873629022557|0.0057|0.007212489168102785|0.0095|0.012869343417595163|0.00555|0.00742462120245875|0.0011|0.001131370849898476|0.00039999999999999996|0.00028284271247461896
AdamWCurvature|0.5877|0.0008485281374239206|0.35345000000000004|0.0016263455967290568|0.30425|0.0010606601717798418|0.268|0.0046669047558311905|0.24775|0.0013435028842544493|0.2253|0.00042426406871192107|0.20475|0.0016263455967290667|0.19190000000000002|0.0018384776310850272|0.17905|0.002050609665440968|0.1676|0.0008485281374238421|0.15675|0.0012020815280171162|0.14434999999999998|0.00021213203435597035|0.1318|0.0002828427124746271|0.119|0.0029698484809834915|0.10980000000000001|0.003111269837220815|0.0999|0.0025455844122715655|0.09175|0.0060104076400856596|0.0827|0.006788225099390854|0.07665|0.0028991378028648445|0.0658|0.003111269837220805|0.0555|0.004242640687119289|0.049699999999999994|0.0022627416997969504|0.0422|0.0011313708498984765|0.037099999999999994|0.00494974746830583|0.03365|0.0037476659402887014|0.0298|0.004525483399593906|0.02775|0.0014849242404917481|0.022600000000000002|0.0042426406871192875|0.0185|0.0007071067811865482|0.017750000000000002|0.00021213203435596175|0.0157|0.0019798989873223323|0.0133|0.0004242640687119284|0.0137|0.0025455844122715702|0.009399999999999999|0.00268700576850888|0.015050000000000001|7.071067811865616e-05|0.0097|0.00282842712474619|0.0070999999999999995|0.0018384776310850235|0.0037999999999999996|0.0028284271247461896|0.0029000000000000002|0.002121320343559643|0.0012|0.0007071067811865474|0.0007999999999999999|0.000282842712474619|0.0006000000000000001|0.00014142135623730954|0.0005|0.0|0.00045|7.071067811865473e-05|0.0004|0.0|0.0004|0.0|0.00035|7.071067811865478e-05|0.0003|0.0|0.0003|0.0|0.0003|0.0
