Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Std_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Std_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Std_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Std_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Std_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Std_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch10
AMSGrad|1.53355|0.03585031380615794|1.3992|0.13463313113791858|1.39635|0.12466292552318825|1.4026|0.0998434775035405|1.4501|0.12812774875100244|1.3523999999999998|0.14948237354283625|1.4203|0.008485281374238578|1.3611|0.03450681092190349|1.37335|0.118581807204984|1.4127999999999998|0.13816866504385147
AMSGradCurvature|1.5343499999999999|7.071067811856847e-05|1.50135|0.03471894295625959|1.4976|0.029274220741122983|1.4889999999999999|0.03733523804664991|1.49545|0.030334880912902845|1.5105499999999998|0.014778531726798863|1.49285|0.01916259377015537|1.4795500000000001|0.00940452018978091|1.466|0.031536962440920004|1.4631500000000002|0.016617009357884
Adadelta|1.6057000000000001|0.004101219330882073|1.5983999999999998|0.000989949493661136|1.59615|0.0006363961030679797|1.5945|0.00042426406871188177|1.5930499999999999|0.00035355339059315634|1.59165|0.0002121320343560979|1.5904500000000001|7.071067811872547e-05|1.5893|0.0|1.5881500000000002|7.071067811856847e-05|1.58705|0.0002121320343558624
AdadeltaCurvature|1.60285|0.0034648232278140937|1.5932|0.0007071067811864697|1.5888|0.00028284271247458785|1.5844|0.00028284271247458785|1.5774|0.0021213203435596446|1.5427499999999998|0.014495689014324277|1.515|0.005798275605729679|1.5039500000000001|0.0036062445840512308|1.49585|0.0020506096654411545|1.4883|0.00014142135623729392
Adagrad|1.525|0.005091168824543131|1.48565|0.012940054095713808|1.4559|0.006081118318204267|1.4426999999999999|0.0019798989873221935|1.4331|0.00042426406871188177|1.42475|0.003464823227814172|1.418|0.005232590180780503|1.4123|0.0057982756057297575|1.4072|0.005374011537017797|1.4024|0.0045254833995937984
AdagradCurvature|1.4302000000000001|0.009475230867899871|1.3401|0.011737972567696651|1.2943500000000001|0.010960155108391614|1.2626499999999998|0.008838834764831735|1.24005|0.006858935777509462|1.22235|0.006010407640085699|1.2085|0.005091168824542974|1.19705|0.0044547727214752295|1.18725|0.004030508652763348|1.1789|0.003676955262170192
Adam|1.5058|0.017960512242138214|1.4758|0.015556349186103902|1.47945|0.06738727624707794|1.48135|0.0006363961030677442|1.49525|7.071067811856847e-05|1.50895|0.05409366876077082|1.4120499999999998|0.09694433970067574|1.46275|0.062296107422534726|1.4678499999999999|0.02283954903232556|1.47925|0.0072831998462214225
AdamCurvature|1.52265|0.0009192388155425676|1.4056|0.15103800846144655|1.40855|0.14884597743976835|1.3620999999999999|0.21510188283694787|1.3290000000000002|0.22910259710444136|1.33935|0.24769950544964756|1.42855|0.08379215357060592|1.4205|0.10507606768432078|1.4152|0.08202438661763958|1.415|0.04596194077712555
AdamW|1.5545|0.009899494936611753|1.5202499999999999|0.008414570696119852|1.4837|0.034789653634378075|1.48865|0.09227743494484449|1.50855|0.04419417382415922|1.49355|0.02340523445727458|1.4745499999999998|0.020293964620053798|1.5003|0.06788225099390863|1.504|0.018101933598375506|1.4862|0.011172287142747477
AdamWCurvature|1.53025|0.0334461507501237|1.4949|0.016970562748477077|1.4580000000000002|0.044264884502277786|1.36855|0.07813529932111353|1.37515|0.05409366876077097|1.39255|0.045466966030294945|1.4180000000000001|0.07778174593052038|1.4598499999999999|0.04108290398693836|1.4867499999999998|0.014354267658086825|1.43855|0.0006363961030679797
HeavyBall|1.5925|0.00042426406871188177|1.57195|0.006293250352560365|1.4842|0.009475230867899635|1.3963999999999999|0.0045254833995937984|1.3276|0.003959797974644622|1.27705|7.071067811856847e-05|1.24235|0.0009192388155425676|1.21895|0.004313351365237936|1.1885|0.0019798989873223505|1.1714|0.0022627416997970167
HeavyBallCurvature|1.4818|0.006081118318204267|1.3913000000000002|0.006929646455628266|1.34885|0.005586143571373816|1.3194|0.008626702730475872|1.29855|0.010111626970967616|1.2765499999999999|0.012232947314527103|1.2586|0.01682914139223986|1.24695|0.016334166645409178|1.2347000000000001|0.01329360748630712|1.2227000000000001|0.013717871555019003
NAG|1.5925|0.00042426406871188177|1.57195|0.006293250352560365|1.4843000000000002|0.010182337649086184|1.3970500000000001|0.0019091883092037035|1.33205|0.0007778174593052736|1.2783000000000002|0.0014142135623730178|1.244|0.00028284271247458785|1.2140499999999999|0.003181980515339506|1.1947|0.009192388155425127|1.1721|0.0
NAGCurvature|1.47995|0.007000357133746834|1.3887|0.009616652224137165|1.3485|0.005798275605729679|1.3209|0.009333809511662341|1.2993999999999999|0.012586500705120494|1.2798500000000002|0.008273149339882716|1.2638|0.011172287142747477|1.2499|0.01711198410471445|1.2375|0.016970562748477157|1.2274500000000002|0.020718228688765838
NAdam|1.53715|0.0013435028842544493|1.5305|0.01371787155501908|1.4802|0.002404163056034311|1.52955|0.01506137443927353|1.5058|0.03196122650963188|1.4895|0.0072124891681028536|1.49185|0.012657211383239142|1.498|0.023900209204105186|1.4934|0.013859292911256375|1.4952999999999999|0.021071782079359072
NAdamCurvature|1.5174500000000002|0.0024748737341530364|1.50595|0.07728677118368969|1.50045|0.0009192388155425676|1.4918|0.031536962440920004|1.48835|0.0037476659402887603|1.5326|0.06858935777509509|1.51965|0.05635641046056783|1.50465|0.03811305550595495|1.4879|0.024183051916579774|1.4628|0.0025455844122715264
NAdamW|1.5575999999999999|0.030829855659733296|1.56165|0.0071417784899841285|1.5431|0.014424978336205551|1.4961|0.02262741699796954|1.4759|0.022344574285494953|1.51285|0.039244426355853304|1.50505|0.026657925650732887|1.51315|0.06668016946589146|1.48745|0.07403407999023146|1.492|0.03931513703397211
NAdamWCurvature|1.53775|0.011242997820866203|1.51465|0.018596908345206192|1.4798|0.006505382386916149|1.51575|0.05819488809165289|1.52985|0.0499924494298889|1.52285|0.05819488809165289|1.5281500000000001|0.04758828637385467|1.52305|0.05183092706097404|1.51535|0.0631446355599588|1.5189499999999998|0.05960910165402607
RMSProp|1.5046|0.03874945160902285|1.4411|0.05529575028878797|1.41045|0.038537319574666835|1.40845|0.039385847712090596|1.3958|0.04369919907732877|1.4184999999999999|0.012445079348883201|1.4284|0.05275016587651637|1.4068999999999998|0.04115361466505701|1.43395|0.04362848839921004|1.3925999999999998|0.015414927829866686
