|Optimizer Name|Running loop number|Epoch number|Average Training Loss
152|Adagrad|2|2|1.2099
153|Adagrad|2|3|1.2198
154|Adagrad|2|4|1.2224
155|Adagrad|2|5|1.2189
156|Adagrad|2|6|1.2095
157|Adagrad|2|7|1.2039
158|Adagrad|2|8|1.2001
159|Adagrad|2|9|1.1967
160|Adagrad|2|10|1.1938
161|AdagradCurvature|1|1|1.1611
162|AdagradCurvature|1|2|1.1514
163|AdagradCurvature|1|3|1.1509
164|AdagradCurvature|1|4|1.1582
165|AdagradCurvature|1|5|1.169
166|AdagradCurvature|1|6|1.1705
167|AdagradCurvature|1|7|1.1656
168|AdagradCurvature|1|8|1.1581
169|AdagradCurvature|1|9|1.1637
170|AdagradCurvature|1|10|1.1733
171|AdagradCurvature|2|1|1.176
172|AdagradCurvature|2|2|1.1603
173|AdagradCurvature|2|3|1.1519
174|AdagradCurvature|2|4|1.1562
175|AdagradCurvature|2|5|1.1601
176|AdagradCurvature|2|6|1.158
177|AdagradCurvature|2|7|1.1766
178|AdagradCurvature|2|8|1.1756
179|AdagradCurvature|2|9|1.1736
180|AdagradCurvature|2|10|1.1702
181|Adadelta|1|1|1.387
182|Adadelta|1|2|1.3933
183|Adadelta|1|3|1.3762
184|Adadelta|1|4|1.3612
185|Adadelta|1|5|1.3476
186|Adadelta|1|6|1.3342
187|Adadelta|1|7|1.3203
188|Adadelta|1|8|1.3053
189|Adadelta|1|9|1.2893
190|Adadelta|1|10|1.2721
191|Adadelta|2|1|1.3791
192|Adadelta|2|2|1.3852
193|Adadelta|2|3|1.3679
194|Adadelta|2|4|1.3536
195|Adadelta|2|5|1.3408
196|Adadelta|2|6|1.3286
197|Adadelta|2|7|1.3163
198|Adadelta|2|8|1.3036
199|Adadelta|2|9|1.2904
200|Adadelta|2|10|1.2763
201|AdadeltaCurvature|1|1|1.5133
202|AdadeltaCurvature|1|2|1.4983
203|AdadeltaCurvature|1|3|1.4703
204|AdadeltaCurvature|1|4|1.4501
205|AdadeltaCurvature|1|5|1.4399
206|AdadeltaCurvature|1|6|1.4281
207|AdadeltaCurvature|1|7|1.4243
208|AdadeltaCurvature|1|8|1.4248
209|AdadeltaCurvature|1|9|1.4141
210|AdadeltaCurvature|1|10|1.4087
211|AdadeltaCurvature|2|1|1.5135
212|AdadeltaCurvature|2|2|1.4961
213|AdadeltaCurvature|2|3|1.4696
214|AdadeltaCurvature|2|4|1.4511
215|AdadeltaCurvature|2|5|1.4409
216|AdadeltaCurvature|2|6|1.4309
217|AdadeltaCurvature|2|7|1.4213
218|AdadeltaCurvature|2|8|1.4182
219|AdadeltaCurvature|2|9|1.4147
220|AdadeltaCurvature|2|10|1.4104
221|RMSProp|1|1|1.2564
222|RMSProp|1|2|1.2143
223|RMSProp|1|3|1.1846
224|RMSProp|1|4|1.152
225|RMSProp|1|5|1.1456
226|RMSProp|1|6|1.1385
227|RMSProp|1|7|1.1491
228|RMSProp|1|8|1.1168
229|RMSProp|1|9|1.0997
230|RMSProp|1|10|1.0872
231|RMSProp|2|1|1.239
232|RMSProp|2|2|1.1909
233|RMSProp|2|3|1.1729
234|RMSProp|2|4|1.1506
235|RMSProp|2|5|1.1302
236|RMSProp|2|6|1.0878
237|RMSProp|2|7|1.093
238|RMSProp|2|8|1.095
239|RMSProp|2|9|1.0816
240|RMSProp|2|10|1.0804
241|RMSPropCurvature|1|1|1.2401
242|RMSPropCurvature|1|2|1.1931
243|RMSPropCurvature|1|3|1.1611
244|RMSPropCurvature|1|4|1.1256
245|RMSPropCurvature|1|5|1.0997
246|RMSPropCurvature|1|6|1.1126
247|RMSPropCurvature|1|7|1.097
248|RMSPropCurvature|1|8|1.0841
249|RMSPropCurvature|1|9|1.0755
250|RMSPropCurvature|1|10|1.0613
251|RMSPropCurvature|2|1|1.2432
252|RMSPropCurvature|2|2|1.1989
253|RMSPropCurvature|2|3|1.1765
254|RMSPropCurvature|2|4|1.1574
255|RMSPropCurvature|2|5|1.1293
256|RMSPropCurvature|2|6|1.1143
257|RMSPropCurvature|2|7|1.1063
258|RMSPropCurvature|2|8|1.1211
259|RMSPropCurvature|2|9|1.0977
260|RMSPropCurvature|2|10|1.0741
261|RMSPropMomentum|1|1|1.264
262|RMSPropMomentum|1|2|1.2146
263|RMSPropMomentum|1|3|1.1917
264|RMSPropMomentum|1|4|1.1767
265|RMSPropMomentum|1|5|1.158
266|RMSPropMomentum|1|6|1.1439
267|RMSPropMomentum|1|7|1.1113
268|RMSPropMomentum|1|8|1.0987
269|RMSPropMomentum|1|9|1.0738
270|RMSPropMomentum|1|10|1.0961
271|RMSPropMomentum|2|1|1.2419
272|RMSPropMomentum|2|2|1.2196
273|RMSPropMomentum|2|3|1.2193
274|RMSPropMomentum|2|4|1.1949
275|RMSPropMomentum|2|5|1.1814
276|RMSPropMomentum|2|6|1.1709
277|RMSPropMomentum|2|7|1.1366
278|RMSPropMomentum|2|8|1.1055
279|RMSPropMomentum|2|9|1.0986
280|RMSPropMomentum|2|10|1.0755
281|RMSPropMomentumCurvature|1|1|1.2404
282|RMSPropMomentumCurvature|1|2|1.2383
283|RMSPropMomentumCurvature|1|3|1.2031
284|RMSPropMomentumCurvature|1|4|1.1862
285|RMSPropMomentumCurvature|1|5|1.16
286|RMSPropMomentumCurvature|1|6|1.1407
287|RMSPropMomentumCurvature|1|7|1.1257
288|RMSPropMomentumCurvature|1|8|1.0839
289|RMSPropMomentumCurvature|1|9|1.0812
290|RMSPropMomentumCurvature|1|10|1.0689
291|RMSPropMomentumCurvature|2|1|1.2338
292|RMSPropMomentumCurvature|2|2|1.2145
293|RMSPropMomentumCurvature|2|3|1.2019
294|RMSPropMomentumCurvature|2|4|1.2075
295|RMSPropMomentumCurvature|2|5|1.1628
296|RMSPropMomentumCurvature|2|6|1.1339
297|RMSPropMomentumCurvature|2|7|1.1182
298|RMSPropMomentumCurvature|2|8|1.1086
299|RMSPropMomentumCurvature|2|9|1.1068
300|RMSPropMomentumCurvature|2|10|1.1041
301|AdamW|1|1|1.239
302|AdamW|1|2|1.2576
303|AdamW|1|3|1.2696
304|AdamW|1|4|1.2528
305|AdamW|1|5|1.2726
306|AdamW|1|6|1.2655
307|AdamW|1|7|1.2322
308|AdamW|1|8|1.2556
309|AdamW|1|9|1.3094
310|AdamW|1|10|1.313
311|AdamW|2|1|1.3602
312|AdamW|2|2|1.4107
313|AdamW|2|3|1.381
314|AdamW|2|4|1.3798
315|AdamW|2|5|1.3422
316|AdamW|2|6|1.3207
317|AdamW|2|7|1.2874
318|AdamW|2|8|1.275
319|AdamW|2|9|1.27
320|AdamW|2|10|1.2503
321|AdamWCurvature|1|1|1.2547
322|AdamWCurvature|1|2|1.2919
323|AdamWCurvature|1|3|1.3052
324|AdamWCurvature|1|4|1.2577
325|AdamWCurvature|1|5|1.2808
326|AdamWCurvature|1|6|1.2667
327|AdamWCurvature|1|7|1.3028
328|AdamWCurvature|1|8|1.3967
