Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Std_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Std_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Std_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Std_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Std_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Std_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch10
AMSGrad|1.358|0.006505382386916227|1.3614|0.014142135623730963|1.3455|0.00636396103067909|1.32355|0.001909188309203625|1.3008000000000002|0.006788225099390815|1.2889499999999998|0.013788582233137807|1.27225|0.015344217151747884|1.26085|0.01265721138323922|1.249|0.009616652224137007|1.23795|0.011384419177103339
AMSGradCurvature|1.2942|0.008909545442950459|1.2624499999999999|0.031607673119038567|1.2948|0.0015556349186104687|1.1253|0.17720095936534877|1.249||1.2371||1.2706|0.05133595231414335|1.27615|0.05890199487283944|1.2751000000000001|0.06689230150024748|1.266|0.07226631303726505
Adadelta|1.38305|0.005586143571373659|1.38925|0.00572756492761111|1.37205|0.0058689862838484826|1.3574|0.005374011537017797|1.3441999999999998|0.004808326112068386|1.3314|0.003959797974644622|1.3183|0.0028284271247461927|1.30445|0.001202081528017077|1.28985|0.0007778174593052736|1.2742|0.0029698484809834867
AdadeltaCurvature|1.5134|0.00014142135623729392|1.4971999999999999|0.0015556349186103117|1.4699499999999999|0.0004949747468304503|1.4506000000000001|0.0007071067811865482|1.4404|0.0007071067811867052|1.4295|0.001979898987322429|1.4228|0.0021213203435596446|1.4215|0.004666904755831328|1.4144|0.0004242640687119603|1.40955|0.0012020815280171554
Adagrad|1.1952500000000001|7.071067811856847e-05|1.2102499999999998|0.0004949747468304503|1.2199499999999999|0.0002121320343558624|1.22115|0.001767766952966331|1.21395|0.007000357133746834|1.2051|0.006222539674441561|1.2001|0.005374011537017797|1.19655|0.005020458146424406|1.1933|0.004808326112068622|1.19025|0.005020458146424406
AdagradCurvature|1.16855|0.010535891039679496|1.15585|0.006293250352560365|1.1514|0.0007071067811864697|1.1572|0.0014142135623731748|1.16455|0.006293250352560365|1.16425|0.00883883476483197|1.1711|0.007778174593052108|1.16685|0.012374368670764632|1.16865|0.007000357133746834|1.1717499999999998|0.0021920310216782916
Adam|1.31435|0.0499924494298889|1.3024499999999999|0.05762920266670348|1.31175|0.0045961940777125235|1.3129|0.046386204845837435|1.30605|0.07035712472806142|1.2863|0.05741707063234762|1.2770000000000001|0.040305086527633247|1.2995999999999999|0.09376235918533617|1.32455|0.11292495295549183|1.29615|0.0795495128834867
AdamCurvature|1.3689|0.021071782079358992|1.3703500000000002|0.01958685783886733|1.3764500000000002|0.020152543263816505|1.36345|0.024395183950935873|1.3394|0.018950461735799506|1.3233000000000001|0.013717871555018845|1.30945|0.0028991378028649967|1.29615|0.002899137802864761|1.2854|0.0022627416997967813|1.2763|0.0059396969619669735
AdamW|1.2996|0.08570134187980954|1.3341500000000002|0.10825804819966037|1.3253|0.07877169542418143|1.3163|0.08980256121069147|1.3074|0.049214631970583865|1.2931|0.03903229432149744|1.2598|0.03903229432149752|1.2652999999999999|0.013717871555019003|1.2896999999999998|0.02786000717874981|1.28165|0.044335595180396516
AdamWCurvature|1.3149|0.08513565645486036|1.32725|0.0499924494298889|1.32395|0.026516504294495594|1.2899|0.045537676708413674|1.2903|0.013435028842544494|1.27795|0.015909902576697294|1.2871000000000001|0.02220315292925758|1.3284500000000001|0.09652007563196387|1.3108|0.06802367235014592|1.2976999999999999|0.06703372285648462
HeavyBall|1.2391|0.000989949493661136|1.2174|0.00424264068711921|1.2022|0.0018384776310850566|1.19795|7.071067811872547e-05|1.1953|0.0005656854249491757|1.1919|0.0018384776310850566|1.1873|0.0008485281374237635|1.1827999999999999|0.0011313708498985869|1.17995|0.0013435028842544493|1.17685|0.0009192388155425676
HeavyBallCurvature|1.2481|0.0029698484809834867|1.2104|0.008485281374238578|1.1849500000000002|0.006010407640085542|1.17265|0.004171930009000642|1.1621000000000001|0.007495331880577285|1.15285|0.008273149339882716|1.13925|0.0045961940777126025|1.1282|0.005656854249492385|1.1141999999999999|0.013435028842544414|1.09715|0.01930401512639274
NAG|1.2391|0.000989949493661136|1.2174|0.00424264068711921|1.2022|0.0018384776310850566|1.19795|7.071067811872547e-05|1.1953|0.0005656854249491757|1.1919|0.0018384776310850566|1.1873|0.0008485281374237635|1.1827999999999999|0.0011313708498985869|1.17995|0.0013435028842544493|1.17685|0.0009192388155425676
NAGCurvature|1.24905|0.0016263455967290372|1.2107999999999999|0.0072124891681028536|1.1849500000000002|0.0023334523779155853|1.1697|0.003535533905932662|1.1632500000000001|0.003040559159102055|1.15025|0.0026162950903900945|1.1377|0.002404163056034311|1.12935|0.0013435028842544493|1.1194000000000002|0.001272792206135724|1.09485|0.001060660171779783
NAdam|1.44485|0.15464425304549803|1.36735|0.09411591257592955|1.6375|0.21397051198704925|1.6110000000000002|0.08131727983645289|1.6414499999999999|0.009263098833543773|1.6722000000000001|0.052325901807804484|1.78205|0.05678067452927987|1.8428|0.07566042558696073|1.9187|0.07735748186180826|1.98575|0.14149206691542812
